,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28242,me7727k2,8,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,0,8,77,tuf4a7eb,klbr18h1
28243,me7727k2,9,0.9,24.0,1.0,10.0,18.0,40,9.0,100,10,9,Defect,2,10.0,64526be1abfd84e77ccaeb63,0,110,9,77,tuf4a7eb,klbr18h1
28244,mr0vpgvq,1,0.7,17.0,1.0,2.0,13.0,26,1.0,100,1,1,Cooperate,2,1.0,66be7c2b8e62080ff8341d96,0,101,1,50,tuf4a7eb,c6bp6egu
28245,mutogtyg,1,0.75,24.0,5.0,12.0,22.0,78,5.0,0,0,0,Defect,1,12.0,67827f656eb9eb92958ab50c,1,0,1,155,tuf4a7eb,rv8kd88f
28246,mutogtyg,2,0.75,24.0,5.0,12.0,22.0,78,5.0,0,0,0,Cooperate,1,5.0,67827f656eb9eb92958ab50c,1,0,2,155,tuf4a7eb,rv8kd88f
28247,mutogtyg,3,0.75,24.0,5.0,12.0,22.0,78,5.0,0,0,0,Defect,1,24.0,67827f656eb9eb92958ab50c,1,0,3,155,tuf4a7eb,rv8kd88f
28248,mutogtyg,4,0.75,24.0,5.0,12.0,22.0,78,5.0,0,0,0,Cooperate,1,5.0,67827f656eb9eb92958ab50c,1,0,4,155,tuf4a7eb,rv8kd88f
28249,mutogtyg,5,0.75,24.0,5.0,12.0,22.0,78,5.0,100,24,5,Defect,1,24.0,67827f656eb9eb92958ab50c,1,124,5,155,tuf4a7eb,rv8kd88f
28250,myx6o0d2,1,0.75,25.0,8.0,15.0,18.0,42,1.0,100,18,1,Cooperate,2,18.0,5c4f4ce19eeaf00001598126,0,118,1,83,tuf4a7eb,t9yjis0q
28251,n8g3c1mg,1,0.6,23.0,5.0,14.0,21.0,66,1.0,100,5,1,Cooperate,2,5.0,6787d648d7b1963c661f9443,1,105,1,131,tuf4a7eb,ols2zf37
